problem,dim,seed,scenario,policy,step,region_index,region_type,source_task_id,posterior_mean,posterior_std,lower_bound,upper_bound,probability_positive,global_compatibility_trust,coverage,status,true_gain,true_useful,region_candidate_index,region_candidate_y,target_top1_y,decision_mode,selected_region_index
GMM,2,101,mixed,arise,1,10,random,random::struct_matched_random,-0.0005677871677166722,0.9996492240000984,-1.000217011167815,0.9990814368323817,0.4997734062210483,0.2541666666666478,0.07354208560758403,uncertain,0.019751783974192277,1.0,2,-0.13632386808243327,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,11,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,12,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,13,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,14,random,random::struct_matched_random,-0.0015614147112207207,0.9973441951103149,-0.9989056098215356,0.9957827803990942,0.4993754271653272,0.2541666666666478,0.5561620224073542,uncertain,0.1357233549734253,1.0,7,-0.2522954390816663,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,15,random,random::struct_matched_random,-0.0005677871677166448,0.9996492240000984,-1.000217011167815,0.9990814368323817,0.4997734062210483,0.2541666666666478,0.07354208560758403,uncertain,0.019751783974192277,1.0,2,-0.13632386808243327,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,16,wrong,wrong::wrong_0,-0.0019872550870081943,0.9956944788884724,-0.9976817339754805,0.9937072238014643,0.49920377227491064,0.2541666666666478,0.9008905486929044,uncertain,0.43138782774186696,1.0,3,-0.547959911850108,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,17,wrong,wrong::merged_2,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,18,wrong,wrong::wrong_0,-0.0006565039126723359,0.9995310149089308,-1.0001875188216032,0.9988745109962585,0.4997379699626363,0.2541666666666478,0.09831944843435794,uncertain,0.675068110435274,1.0,1,-0.791640194543515,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,19,wrong,wrong::wrong_1,-0.001348494523327037,0.9980197905327611,-0.9993682850560882,0.996671296009434,0.49946096127385853,0.2541666666666478,0.4148233266302786,uncertain,0.31272465421412965,1.0,4,-0.42929673832237064,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,20,wrong,wrong::wrong_1,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
