seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seeds
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,interval_coverage_95,0.9140625,0.828125,-0.0859375,-0.16796875,-0.3037109375,-0.0478515625,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,pairwise_accuracy,0.7662401574803149,0.7662401574803149,0.0,-0.10048597440944881,-0.20206385334645668,-0.026113435039370067,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,ndcg_at_top,0.8611096820359903,0.8611096820359903,0.0,-0.21439456432360282,-0.40981320136167126,-0.046186041162470395,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,normalized_top1_regret,0.1458937437463705,0.1458937437463705,0.0,-0.3139922094099313,-0.5754244173365273,-0.06939939854387828,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,standardized_rmse,1.26194834759258,1.26194834759258,0.0,-0.5271216979141857,-1.1134040313146663,-0.07046874989355564,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,spearman,0.7520371726789965,0.7520371726789965,0.0,-0.2558912058231093,-0.513679385643655,-0.05537990981505215,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,precision_at_top,0.3846153846153846,0.3846153846153846,0.0,-0.17307692307692307,-0.3173076923076923,-0.04807692307692307,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,mean_negative_log_likelihood,-0.9648859941995994,-0.9648859941995994,0.0,2.7036919618659576,0.27869390072219213,5.519827777959057,0.5,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,interval_coverage_95,0.9140625,0.9140625,0.0,-0.1650390625,-0.2998046875,-0.046875,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,pairwise_accuracy,0.7662401574803149,0.7736220472440944,0.0073818897637795144,-0.09885580708661416,-0.19769738865649608,-0.023048412893700816,0.25,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,ndcg_at_top,0.8611096820359903,0.926139660737512,0.06502997870152172,-0.20156464355726467,-0.4009863549188076,-0.03320951389039388,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,normalized_top1_regret,0.1458937437463705,0.0622331979600484,0.08366054578632212,-0.3036080356816767,-0.5753890083747351,-0.058941830320588015,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,standardized_rmse,1.26194834759258,1.3571401282010669,-0.09519178060848699,-0.5771657470302852,-1.2007170582706976,-0.09307588369850348,0.0,8
