seed,relation,method,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,oracle_order_agreement,fitted_expert_order_agreement,gate_accepted,gate_cv_gain,gate_context_pairwise,effective_mode,srmse_delta_vs_target_only,negative_transfer
23,rotate_45,Calibrated-Transfer,0.4746970583271545,0.9305017037494203,0.8836522159302838,0.8613740208877284,0.6923076923076923,0.08454703135440143,-0.5502950894305808,0.9947916666666666,384,0.7722748041775457,0.7755157548311642,False,,,calibrated,0.11039921511892864,True
23,rotate_45,Gated-Transfer,0.4746970583271545,0.9305017037494203,0.8836522159302838,0.8613740208877284,0.6923076923076923,0.08454703135440143,-0.5502950894305808,0.9947916666666666,384,0.7722748041775457,0.7755157548311642,True,0.07818198201902711,0.8928571428571429,calibrated,0.11039921511892864,True
23,anisotropy_swap,Target-Only,0.5115332855836089,0.9809048024327182,0.8900923162998879,0.8538538946910357,0.717948717948718,0.0,-0.5043399792433778,0.9895833333333334,384,0.7321176022628373,0.731997878503529,False,,,target_only,0.0,False
23,anisotropy_swap,Fixed-Transfer,0.821364305318907,0.9519698436886043,0.6920562629276729,0.751332680591819,0.6923076923076923,0.09607457130456361,10.522927963458041,0.1953125,384,0.7321176022628373,0.731997878503529,False,,,fixed,0.30983101973529814,True
23,anisotropy_swap,Calibrated-Transfer,0.7626085561471198,0.9641142865671144,0.7236110169204165,0.7662777415143603,0.717948717948718,0.04770895348267937,6.723530194254553,0.24479166666666666,384,0.7321176022628373,0.731997878503529,False,,,calibrated,0.25107527056351087,True
23,anisotropy_swap,Gated-Transfer,0.7626085561471198,0.9641142865671144,0.7236110169204165,0.7662777415143603,0.717948717948718,0.04770895348267937,6.723530194254553,0.24479166666666666,384,0.7321176022628373,0.731997878503529,True,0.6526142333063324,0.9285714285714286,calibrated,0.25107527056351087,True
23,roughness,Target-Only,0.9796934281529485,0.7534235391100541,0.38713124343019906,0.632139360313316,0.41025641025641024,0.18748197039291828,2.425531621271596,0.6380208333333334,384,0.7910411227154047,0.7857152570954538,False,,,target_only,0.0,False
23,roughness,Fixed-Transfer,0.8594161124446895,0.7454777184208243,0.6386719677189652,0.7231016100957354,0.38461538461538464,0.4572161559737597,5.6177717955037645,0.4973958333333333,384,0.7910411227154047,0.7857152570954538,False,,,fixed,-0.12027731570825895,False
23,roughness,Calibrated-Transfer,0.8725850299878402,0.7236809791758531,0.5947136414499339,0.7073814186248912,0.358974358974359,0.5342270231573524,6.308410478711017,0.4661458333333333,384,0.7910411227154047,0.7857152570954538,False,,,calibrated,-0.10710839816510831,False
23,roughness,Gated-Transfer,0.8725850299878402,0.7236809791758531,0.5947136414499339,0.7073814186248912,0.358974358974359,0.5342270231573524,6.308410478711017,0.4661458333333333,384,0.7910411227154047,0.7857152570954538,True,0.16583779828750767,0.7142857142857143,calibrated,-0.10710839816510831,False
23,reversal,Target-Only,0.6519779842373864,0.8789190860815811,0.8112627581295988,0.8153965404699739,0.3333333333333333,0.23616854958231304,-0.3787116424313725,0.9453125,384,0.0,0.016523193668148993,False,,,target_only,0.0,False
23,reversal,Fixed-Transfer,1.1653501869400922,0.7354194413000906,0.27811323793699777,0.6068456266318538,0.1794871794871795,0.3614463417161473,0.19053354536182163,0.9921875,384,0.0,0.016523193668148993,False,,,fixed,0.5133722027027058,True
23,reversal,Calibrated-Transfer,0.6519779842373864,0.8789190860815811,0.8112627581295988,0.8153965404699739,0.3333333333333333,0.23616854958231304,-0.3787116424313725,0.9453125,384,0.0,0.016523193668148993,False,,,target_only,0.0,False
23,reversal,Gated-Transfer,0.6519779842373864,0.8789190860815811,0.8112627581295988,0.8153965404699739,0.3333333333333333,0.23616854958231304,-0.3787116424313725,0.9453125,384,0.0,0.016523193668148993,False,0.0,0.0,target_only,0.0,False
23,independent_expert,Target-Only,0.6519779842373864,0.9799599660451651,0.8112627581295988,0.8153965404699739,0.7692307692307693,0.023120220068970576,-0.3787116424313725,0.9453125,384,0.5081728677110531,0.514303245159531,False,,,target_only,0.0,False
23,independent_expert,Fixed-Transfer,2.2860509325121354,0.7386109600125332,0.2609098962395307,0.588881636205396,0.3076923076923077,0.23537599400818168,6.8184105414119465,0.453125,384,0.5081728677110531,0.514303245159531,False,,,fixed,1.6340729482747491,True
23,independent_expert,Calibrated-Transfer,0.7611771808787998,0.9406154302379897,0.7040147841714421,0.7572209530026109,0.6153846153846154,0.06218217853826866,-0.042289014705030735,0.8880208333333334,384,0.5081728677110531,0.514303245159531,False,,,calibrated,0.10919919664141342,True
